"x","value"
891,-8.66668103954037
892,-9.41891019500249
893,-10.1711393504646
894,-10.9233685059267
895,-11.6755976613889
896,-12.427826816851
897,-13.1800559723131
898,-13.9322851277752
899,-14.6845142832373
900,-15.4367434386995
